,mean,std,min,q1,median,q3,max,iqr,skew,kurtosis,label
6378,1050.7066666666667,1608.503154336269,0.0,0.0,172.5,1636.5,10589.0,1636.5,1.953352414835443,4.056926790579551,pulsar
6379,1049.8972222222221,1604.6742576089573,0.0,0.0,183.0,1636.5,10589.0,1636.5,1.9566961157088263,4.089976562656137,pulsar
6380,1055.4988888888888,1605.0750006282883,0.0,0.0,189.5,1642.0,10589.0,1642.0,1.9485064747114298,4.056938479886449,pulsar
6381,1050.2616666666668,1604.1337861494085,0.0,0.0,185.0,1635.0,10589.0,1635.0,1.962371001071586,4.116173118122047,pulsar
6382,1057.7566666666667,1610.1119584845394,0.0,0.0,183.5,1647.75,10589.0,1647.75,1.9466794112669112,4.031929461264653,pulsar
6383,1062.2272222222223,1613.7711474442635,0.0,0.0,183.5,1672.0,10589.0,1672.0,1.9331909558284577,3.9611104675022974,pulsar
6384,1063.115,1613.062498930469,0.0,0.0,183.0,1679.75,10589.0,1679.75,1.9171965728159504,3.8804173431300515,pulsar
6385,1057.2405555555556,1606.783157421896,0.0,0.0,183.0,1675.5,10589.0,1675.5,1.9237937545299568,3.9293512976961638,pulsar
6386,1054.2772222222222,1603.4674303705376,0.0,0.0,183.0,1672.0,10589.0,1672.0,1.9292398849233774,3.966796232740387,pulsar
6387,1063.6833333333334,1614.3768391960843,0.0,0.0,180.5,1694.5,10589.0,1694.5,1.9189162790586356,3.9030469262479657,pulsar
6388,1065.4183333333333,1604.7633403529805,0.0,0.0,183.5,1698.75,10589.0,1698.75,1.8736061804085835,3.6238750961033053,pulsar
6389,1064.533888888889,1593.9892892758623,0.0,0.0,186.0,1718.5,10589.0,1718.5,1.8628005326312498,3.6296175746532415,pulsar
6390,1068.5894444444446,1588.7682496811167,0.0,0.0,188.5,1722.25,9616.0,1722.25,1.7846642920907603,3.019713142132551,pulsar
6391,1091.125,1604.881806739917,0.0,0.0,199.0,1787.25,9616.0,1787.25,1.7418069222453754,2.8064176595294357,pulsar
6392,1091.7522222222221,1610.347877492047,0.0,0.0,196.5,1785.5,9616.0,1785.5,1.7456716752872061,2.800347199378137,pulsar
6393,1085.8011111111111,1606.7630109721993,0.0,0.0,190.0,1768.5,9616.0,1768.5,1.7465139713095357,2.7982357755848297,pulsar
6394,1080.1905555555556,1596.3045166448428,0.0,0.0,187.5,1782.75,9616.0,1782.75,1.7273536076836686,2.6952629187360784,pulsar
6395,1086.2583333333334,1598.5450195332967,0.0,0.0,191.0,1788.25,9616.0,1788.25,1.7189913697618342,2.664370381709164,pulsar
6396,1091.558888888889,1607.141907042013,0.0,0.0,193.0,1802.25,9616.0,1802.25,1.7389200389654116,2.8208890477519764,pulsar
6397,1105.6016666666667,1618.2554131562672,0.0,0.0,200.5,1842.75,9616.0,1842.75,1.7196321108199868,2.7216821061417735,pulsar
6398,1111.3194444444443,1622.618746367788,0.0,0.0,202.0,1878.25,9616.0,1878.25,1.7088186386378226,2.6646479721863323,pulsar
6399,1123.4033333333334,1634.196914344381,0.0,0.0,203.0,1902.75,9616.0,1902.75,1.6937458913711008,2.5981206296017016,pulsar
6400,1136.8577777777778,1646.4675498681481,0.0,0.0,209.5,1918.25,9616.0,1918.25,1.6870158202974024,2.5774963954833736,pulsar
6401,1143.7683333333334,1662.5164134895904,0.0,0.0,214.0,1922.25,11191.0,1922.25,1.7485851524712677,3.0797499979600143,pulsar
6402,1145.4466666666667,1656.4653909372767,0.0,0.0,218.5,1925.5,11191.0,1925.5,1.740438475319781,3.0717767781552534,pulsar
6403,1143.2872222222222,1655.391760008155,0.0,0.0,216.5,1922.25,11191.0,1922.25,1.7349022532227392,3.0453593232329177,pulsar
6404,1142.6977777777777,1641.8592681346677,0.0,0.0,221.5,1925.5,11191.0,1925.5,1.7094718790103243,2.9180476323340065,pulsar
6405,1151.1294444444445,1641.6942906277113,0.0,0.0,227.5,1962.25,11191.0,1962.25,1.6920386627743276,2.8595086396133778,pulsar
6406,1150.6627777777778,1640.1798109622007,0.0,0.0,224.5,1979.5,11191.0,1979.5,1.6910998852330466,2.8659364808260146,pulsar
6407,1166.2144444444446,1650.6854238960364,0.0,0.0,228.0,1999.25,11191.0,1999.25,1.6615923233573378,2.7245782929445537,pulsar
6408,1171.293888888889,1661.1174787558937,0.0,0.0,228.0,1987.25,11191.0,1987.25,1.6978224541073224,2.959928628814627,pulsar
6409,1172.8555555555556,1652.724453837891,0.0,0.0,229.5,2001.25,11191.0,2001.25,1.6532267757521868,2.703815972539742,pulsar
6410,1174.3783333333333,1655.4500805125256,0.0,0.0,233.0,2020.5,11191.0,2020.5,1.6510675969117437,2.6831757496917814,pulsar
6411,1176.263888888889,1656.3891626585676,0.0,0.0,233.5,2022.0,11191.0,2022.0,1.6500580892335373,2.6830496559476864,pulsar
6412,1190.5711111111111,1684.8203350405618,0.0,0.0,236.0,2036.75,11971.0,2036.75,1.7214817518526777,3.2855845902142113,pulsar
6413,1202.4283333333333,1691.2413117013268,0.0,0.0,240.5,2062.25,11971.0,2062.25,1.7016477814399726,3.1880363124145012,pulsar
6414,1208.8166666666666,1697.4466777296448,0.0,0.0,241.5,2081.25,11971.0,2081.25,1.6867933313263301,3.102436520656338,pulsar
6415,1216.3855555555556,1709.6258204762694,0.0,0.0,240.5,2082.25,11971.0,2082.25,1.6949132472168567,3.145342041368058,pulsar
6416,1217.3927777777778,1710.212839785914,0.0,0.0,239.5,2108.75,11971.0,2108.75,1.6767013205095953,3.053410298883539,pulsar
6417,1228.4022222222222,1722.7710944604173,0.0,0.0,238.5,2144.5,11971.0,2144.5,1.6554033448974181,2.921123720565118,pulsar
6418,1229.2633333333333,1725.3988988927074,0.0,0.0,238.0,2144.5,11971.0,2144.5,1.6532768312423198,2.89780524756327,pulsar
6419,1231.5411111111111,1725.2629824200856,0.0,0.0,238.5,2158.0,11971.0,2158.0,1.6483620983022247,2.885597916885408,pulsar
6420,1240.0388888888888,1736.4317391424802,0.0,0.0,239.5,2166.5,11971.0,2166.5,1.6635889195917346,2.9891941221963836,pulsar
